,单价,地址,小区,年份,总价,户型,朝向,标题,楼层,面积
0,14706,金融港-高新五路与流芳大道交汇处(旭辉御府往南走30,达尚城,2018年建,125.0,2室2厅,南北向,达尚 城 大两房 楼层好采光佳 自带综合商业体 升z空间,中层（共27层）,85.0
1,19355,鲁巷-雄楚大道958号,创客广场,2018年建,60.0,1室1厅,南北向,"铂顿国际酒店,小户型包租公寓,民电可自住,限时活动首付十万",低层（共18层）,31.0
2,17561,光谷-洪山区珞喻东路201号,鼓风社区,2000年建,72.0,1室1厅,南北向,"鼓风小区一室一厅精装修可拎包入住型,房东诚心出售,",低层（共6层）,41.0
3,12558,民族大道-光谷民族大道888号,锦绣龙城,2013年建,108.0,2室1厅,南向,�w房源绛价急卖 满二自住精装两房 陈莎17386073925,中层（共30层）,86.0
4,14773,民族大道-光谷民族大道888号,锦绣龙城,2013年建,130.0,2室2厅,南北向,锦绣龙城买房找王长强帮忙 精装修两居室 户型好两证满 有钥匙,中层（共32层）,88.0
5,25000,光谷-关山大道332号(新竹路与关山大道交汇处),保利时代,2016年建,295.0,3室2厅,南北向,实拍保利时代天悦 高楼层 光谷实验 房东急售 随时看,高层（共34层）,118.0
6,20402,关山-东湖开发区关山一路369号,金地太阳城,2004年建,259.0,3室2厅,南北向,"不临街,采光充足,满两年,业主自住保养良好。",高层（共7层）,126.95
7,18824,关山-光谷一路与湖口一路交汇处(光谷火车站东侧),统建天成美景,2017年建,160.0,2室2厅,南北向,急急30万豪华装白送地铁口天成美景精装两房 业主急售拎包入住,中层（共28层）,85.0
8,13918,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城,2016年建,135.0,3室2厅,南北向,碧桂园生态城 精装小三房 高楼层视野开阔 通透户型!!,中层（共28层）,97.0
9,15714,民族大道-光谷民族大道888号,锦绣龙城,2014年建,110.0,2室2厅,南向,锦绣龙城买房找小马帮忙 中间楼层户型好 送家具家电 随时看房,中层（共24层）,70.0
10,15625,光谷东-花城大道与梅城路交汇处(花山生态艺术馆旁),万科花山紫悦湾,2016年建,125.0,2室2厅,南向,新房出售 ! 万科紫悦湾 精装两房 送品牌家具 随时看房,高层（共32层）,80.0
11,17412,民族大道-东湖开发区民族大道与天际路交汇处(保利十二橡,当代安普顿小镇,2015年建,148.0,2室2厅,南向,韵湖公园旁 安普顿婚装两房 楼层好 采光佳 房东换房急卖!,高层（共18层）,85.0
12,22892,关山-东湖开发区关山一路369号,金地太阳城,2004年建,209.0,2室2厅,南北向,金地太阳城居家精装2房 南北朝向,中层（共7层）,91.3
13,27407,关山-东湖新技术开发区关山大道349号,光谷新世界,2013年建,370.0,3室2厅,南北向,光谷新世界好房精装三房送花园业主急售只卖一周低于市场价50万,低层（共33层）,135.0
14,16111,光谷东-高新大道光谷六路与神墩二路交汇处(中国十五冶,朗诗里程,2017年建,145.0,3室2厅,南北向,光谷五路地铁口通透毛坯3房对·口十七·小188国际社区旁,中层（共27层）,90.0
15,18400,金融港-康魅路1号(高新四路谷尚居与魅力之城之间),金地艺境,2014年建,230.0,4室2厅,南北向,金地艺境 高品质改善型大四房 全新毛坯 价格便宜 中楼层,低层（共34层）,125.0
16,15254,关山-高新二路127号,金谷明珠园,2006年建,90.0,2室1厅,南北向,捡漏价 准拆迁房 金谷明珠园 证满二年 自住,中层（共6层）,59.0
17,17368,光谷东-花城大道与梅城路交汇处(花山生态艺术馆旁),万科花山紫悦湾,2016年建,198.0,3室2厅,南北向,花山生态城小雷专盘 花山万科紫悦湾 拎包入住 随时看房,高层（共5层）,114.0
18,16640,光谷-高新大道与教育中路交汇处(光谷九小旁),国创光谷上城,2017年建,208.0,3室2厅,南北向,地铁口 光谷生物城旁国创光谷上城 南北通透 毛坯三房,高层（共33层）,125.0
19,12642,民族大道-洪山区高新技术开发区南湖路(民院路立交桥附近,南波湾高尚小区,2004年建,78.0,2室1厅,南向,南湖畔财大旁锦绣龙城南波湾高尚小区 精装两房 无税 随时看房,中层（共6层）,61.7
20,23894,光谷-关山大道与纺织路路口西行100米(武汉职业技,金地格林东郡,2017年建,270.0,3室2厅,南北向,一房通 王飞 金地格林东郡 光谷 实验 精装三房,高层（共32层）,113.0
21,17073,民族大道-民族大道318号,丽岛美生,2015年建,210.0,4室2厅,南北向,民族大道 华师一旁 丽岛美生精装四房急售 单价不到一万八,低层（共18层）,123.0
22,21694,金融港-东湖高新开发区光谷高新四路1号,万科魅力之城,2011年建,210.0,3室2厅,南北向,万科精装三房 满五年 中间楼层 南北通透,中层（共18层）,96.8
23,28846,金融港-光谷大道106号,当代国际花园,2010年建,600.0,5室3厅,南北向,新:当代国际花园比弗利 边户别墅 2号线出站口 2小未用 集中供,低层（共3层）,208.0
24,15978,"民族大道-华师一附中西侧,汤逊湖北路与保利北路交汇处",光谷地产湾郡,2011年建,147.0,2室1厅,南向,湾郡 全南两房 精装看湖景 别墅综合体 出门就是华师一,高层（共14层）,92.0
25,20526,金融港-东湖新技术开发区大学园路1号,万科城市花园,2007年建,195.0,2室2厅,南北向,二·小·学·区·房 电梯大两房 满2年少税 当代国际花园旁,高层（共11层）,95.0
26,21649,光谷-关山大道与纺织路路口西行100米(武汉职业技,金地格林东郡,2016年建,210.0,2室2厅,南向,"此房满两年,带暖气精装修,小区中间位置 金地物业",高层（共34层）,97.0
27,16154,关山-高新二路和光谷一路交汇处,和昌光谷未来城,2020年建,168.0,3室2厅,南向,和昌光谷未来城 2号线地铁口 背靠黄龙山市镇公园 需要的电话,高层（共45层）,104.0
28,20121,光谷-鲁巷广场购物中心正后门,双塘小区,1998年建,130.0,2室1厅,南北向,"此房为光谷正地铁口,中高楼层,视野好,采光佳,诚心出售",高层（共7层）,64.61
29,16312,民族大道-龙城路与天际路交汇处,宝业光谷丽都,2016年建,230.0,3室2厅,南北向,"震惊!宝业光谷丽都大三房单价1.6了,电梯入户,满两年有钥匙",中层（共33层）,141.0
