,单价,地址,小区,年份,总价,户型,朝向,标题,楼层,面积
0,30151,关山-关山大道与南湖大道交汇处(光谷沃尔玛旁),光谷坐标城九台,南向,600.0,叠加,199�O,城中别墅 带花园!带车位 急售 您还在犹豫什么 欢迎您随时看房,花园：130.0平米,卧室：5个
1,63333,光谷东-高新大道789号(东湖新技术开发区高新大道与,驿山高尔夫,北向,1900.0,双拼,300�O,"驿山高尔夫,双拼,赠送668平米大院子,纯毛坯,总价便宜!",花园：668.0平米,卧室：4个
2,19926,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,540.0,双拼,271�O,"花山生态新城,建面271平,花园200平,大户双拼美墅",花园：200.0平米,卧室：6个
3,18182,民族大道-江夏大道特一号庙山开发区,玉龙岛花园别墅,南向,360.0,双拼,198�O,保利十二橡树庄园玉龙岛花园居家豪华装修双拼别墅,花园：300.0平米,卧室：5个
4,24077,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,1500.0,双拼,623�O,"碧桂园生态城好房源,阳光充足空气清新,适合居家过日子",花园：1000.0平米,卧室：4个
5,20792,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,420.0,联排,202�O,专注别墅 Du家一手价格 低于市价 美墅双拼,无花园,卧室：3个
6,19742,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,535.0,双拼,271�O,300平大院子 碧桂园桃花源别墅 一期别墅 证满两年 环境优美,无花园,卧室：5个
7,35448,关山-关山大道与南湖大道交汇处(光谷沃尔玛旁),九台别墅,北向,900.0,叠加,253.89�O,"光谷天地九台别墅,闹中取静,户型好,诚心出售!",花园：88.0平米,卧室：6个
8,37266,关山-关山大道与南湖大道交汇处(光谷沃尔玛旁),光谷坐标城九台,南向,560.0,双拼,150.27�O,"坐标城九台别墅,带院子和车位,附加100平地下室",无花园,卧室：3个
9,32461,金融港-大学园路1号(万科城市花园东南端),万科红郡别墅,南向,620.0,叠加,191�O,"万科红郡别墅,C户型,满两年,毛坯房,设计梦想的家,您的家!",花园：200.0平米,卧室：5个
10,19075,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,330.0,双拼,173�O,碧桂园生态城联排别墅诚心出售随时看房,花园：50.0平米,卧室：4个
11,21429,民族大道-江夏大道特一号庙山开发区,玉龙岛花园别墅,南向,600.0,双拼,280�O,双拼别墅 带车位 花园300平 有钥匙 随时看房,无花园,卧室：5个
12,18051,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,500.0,双拼,277�O,碧桂园生态城满两年 双拼别墅 产权清晰诚意出售随时看看,花园：300.0平米,卧室：5个
13,29337,民族大道-天际路与庙山中路交汇处(华师一附中以西600,名湖豪庭珑御,南向,575.0,叠加,196�O,"名湖豪庭 自住别墅精美装修 三层 前后花园 满二无税,随时看",无花园,卧室：5个
14,20115,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,350.0,联排,174�O,碧桂园专盘 经典联排别墅 全区Zui底价 满2年可少税 欢迎,无花园,卧室：4个
15,30837,关山-关山大道与南湖大道交汇处(光谷沃尔玛旁),光谷坐标城九台,南向,700.0,叠加,227�O,"九台别墅,大露台,毛坯房,六室三厅",花园：60.0平米,卧室：6个
16,32121,民族大道-天际路与庙山中路交汇处(华师一附中以西600,名湖豪庭珑御,南向,530.0,叠加,165�O,名湖豪庭 叠加上叠别墅 60万豪装 送车位,无花园,卧室：4个
17,19412,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城别墅,南向,330.0,联排,170�O,碧桂园生态城钻石联排鸟语花香高品质生活的源泉,花园：80.0平米,卧室：4个
18,18421,民族大道-大学园路37(庙山经济开发区汤逊湖旁),清风别墅,南向,350.0,联排,190�O,清风别墅 联排边户豪装7房 满五无税 带车库和100平花园,花园：100.0平米,卧室：6个
19,27313,关山-关山大道与南湖大道交汇处(光谷沃尔玛旁),光谷坐标城九台,南向,620.0,叠加,227�O,"坐标城九台电梯别墅,带院子,附加100平地下室 清水毛坯",花园：50.0平米,卧室：6个
